> seed 1

100 10
2 3 70
2 16 150
3 16 130
3 7 40
3 1 90
3 1 140
3 9 140
2 4 80
2 1 30
4 1 90
4 7 90
4 1 110
2 15 100
4 8 80
2 8 150
3 10 30
3 4 50
4 10 40
4 11 140
4 17 90
4 7 70
3 16 110
3 2 100
2 13 90
4 6 80
4 12 40
3 17 40
2 17 90
3 16 140
2 16 30
3 13 130
2 6 110
2 1 150
2 8 90
4 12 120
3 15 70
4 1 90
4 17 150
2 17 150
4 7 90
2 16 80
4 7 110
3 16 80
3 12 30
4 11 100
4 1 150
2 6 110
4 6 40
4 9 30
4 3 40
2 15 30
3 8 70
2 6 80
3 3 50
2 9 110
2 9 130
4 10 100
4 11 100
3 4 30
3 13 80
3 7 70
2 9 140
4 7 120
3 1 60
2 13 50
2 6 100
4 17 130
3 8 130
4 17 100
2 17 130
2 13 130
4 11 130
4 14 30
4 10 50
2 2 70
2 3 70
3 6 90
4 9 50
2 2 120
2 15 50
4 17 30
3 7 80
2 7 120
4 14 120
2 16 40
4 13 70
4 16 30
3 13 70
2 6 60
3 5 80
3 7 70
4 4 90
4 12 130
4 16 150
4 8 40
4 2 40
2 6 50
4 7 70
3 17 70
3 11 80
60 100 80 180 140 180 160 120 80 140 

> seed 2

100 10
2 3 40
3 6 140
4 10 70
4 7 120
2 6 90
4 13 150
4 17 80
4 15 110
3 2 30
3 15 80
3 14 110
2 6 60
2 1 50
3 6 50
4 17 80
4 6 100
3 17 150
3 12 80
3 6 150
3 15 130
4 8 100
3 16 110
4 12 130
3 15 80
4 15 100
4 8 80
4 6 120
3 16 70
3 17 110
4 17 130
4 14 70
4 7 100
4 12 130
4 3 150
3 1 60
4 4 30
4 2 70
4 8 130
2 17 50
3 8 60
2 14 140
2 2 80
3 6 60
4 1 40
2 3 30
2 1 80
3 5 50
4 6 110
4 1 90
4 2 150
2 5 30
2 12 120
4 4 70
3 16 30
3 15 110
4 2 70
3 5 100
2 3 130
4 11 40
2 15 150
2 17 120
3 16 110
3 5 80
3 9 120
3 1 140
4 5 130
2 9 30
2 6 50
2 15 130
2 17 140
2 8 60
4 15 40
3 3 120
2 12 70
4 14 70
4 1 50
2 13 90
2 4 110
4 3 60
2 4 30
2 8 40
2 1 110
4 15 100
3 13 60
4 7 140
3 14 110
2 2 90
4 6 40
4 16 80
2 17 40
4 12 70
4 12 70
2 14 40
2 10 60
4 1 150
3 2 90
4 16 100
2 3 30
3 1 80
3 3 60
180 120 80 60 140 100 120 160 120 80 

> seed 3

100 10
2 5 80
4 16 130
4 3 120
2 16 70
4 8 60
4 16 110
4 16 90
4 5 60
4 5 110
3 1 130
2 6 150
4 2 70
2 9 100
4 13 140
3 13 140
4 15 50
3 4 30
2 16 60
3 14 150
4 10 90
4 13 120
3 14 120
2 11 130
2 9 120
4 6 140
3 4 140
4 7 130
4 9 70
2 3 100
4 16 40
3 3 90
2 1 70
3 14 40
2 2 90
4 11 110
3 17 60
2 10 30
2 4 120
4 2 60
3 10 120
3 5 140
2 11 80
3 5 90
3 15 110
3 4 120
4 9 90
4 8 70
3 9 110
3 11 30
3 11 30
3 5 30
4 11 100
3 12 120
4 9 140
3 1 120
2 1 80
3 15 70
4 11 50
3 6 80
3 9 70
3 4 150
2 5 70
4 8 130
3 8 80
2 14 130
4 4 40
4 11 80
4 8 100
2 3 80
4 7 120
3 9 60
2 2 110
2 11 150
4 6 70
3 3 150
4 12 120
2 14 70
4 9 100
3 14 70
3 14 30
3 5 60
2 16 120
4 14 110
4 8 30
4 15 150
4 17 70
4 11 60
2 10 40
2 2 30
4 17 60
3 2 30
3 4 50
4 10 60
4 1 110
4 14 30
4 4 80
2 9 110
3 2 80
2 7 40
4 4 50
80 180 100 180 80 180 60 120 160 140 

> seed 4

100 10
2 10 40
4 13 100
2 3 40
2 13 110
3 2 60
4 12 70
2 4 70
2 1 130
3 9 60
2 10 70
4 12 40
4 11 130
3 17 60
2 8 100
3 3 110
3 1 70
4 10 150
4 7 90
3 10 90
3 6 60
3 9 150
2 3 30
3 9 110
4 16 140
3 5 130
2 3 90
2 15 70
2 12 90
4 11 130
4 7 80
2 2 140
2 9 150
4 8 40
3 6 70
3 1 30
3 3 70
4 11 30
3 10 80
2 14 120
4 3 70
4 7 100
3 5 70
3 6 80
4 1 80
2 15 50
3 12 70
4 4 100
2 14 60
2 2 30
2 6 120
4 5 120
2 16 120
2 11 30
2 17 70
3 7 100
2 8 100
3 16 30
2 14 100
2 14 60
3 7 30
2 9 70
2 17 60
2 14 70
2 11 30
3 4 120
3 2 100
3 3 90
2 6 80
3 16 150
4 11 90
4 7 130
4 9 80
3 16 40
3 7 30
3 5 150
3 2 50
4 15 120
3 13 90
2 1 60
2 1 120
3 4 90
3 8 110
2 7 50
4 11 110
3 17 100
2 3 30
4 4 100
4 9 120
2 2 80
2 17 30
3 12 40
2 15 90
2 10 90
2 16 90
2 3 40
4 12 110
3 14 140
3 3 130
2 10 100
3 4 150
140 80 100 180 80 80 160 80 100 120 

> seed 5

100 10
4 9 140
3 17 30
3 8 130
2 6 40
3 16 60
3 4 120
2 1 140
2 14 70
2 13 50
2 5 120
4 15 50
2 1 30
2 7 50
2 10 80
2 7 50
4 7 90
3 1 80
3 6 50
3 3 80
3 1 120
4 11 40
3 12 70
3 11 50
3 16 140
2 2 70
2 12 90
2 14 80
3 1 100
2 6 120
2 4 150
2 15 80
4 12 110
3 15 40
4 12 70
2 14 40
2 11 110
4 12 50
3 9 140
4 3 70
4 11 70
2 3 130
2 10 100
2 2 40
4 13 30
2 12 70
3 14 50
2 2 150
3 11 60
2 5 130
3 4 50
3 12 50
2 14 70
2 15 120
2 17 100
3 11 100
3 10 100
3 5 40
3 6 130
3 11 50
2 16 70
4 17 80
2 12 140
4 2 150
3 12 110
4 9 100
3 10 80
4 6 120
2 16 110
3 11 130
3 15 70
4 12 80
