> seed 1

200 10
2 5 70
2 32 150
3 31 130
3 14 40
3 2 90
3 1 140
3 18 140
2 7 80
2 2 30
4 1 90
4 14 90
4 2 110
2 29 100
4 15 80
2 15 150
3 19 30
3 7 50
4 19 40
4 22 140
4 33 90
4 13 70
3 32 110
3 3 100
2 26 90
4 12 80
4 24 40
3 33 40
2 26 80
3 2 100
2 20 140
4 26 130
2 11 110
2 1 150
2 15 90
4 23 120
3 30 70
4 1 90
4 33 150
2 14 90
2 31 80
4 13 110
3 32 80
3 23 30
4 22 100
4 2 150
2 12 110
4 12 40
4 17 30
4 5 40
2 29 30
3 16 70
2 12 80
3 5 50
2 17 110
2 18 130
4 19 100
4 21 100
3 8 30
3 25 80
3 13 70
2 17 140
4 14 120
3 2 60
2 26 50
2 11 100
4 33 130
3 15 130
4 29 60
4 2 90
4 21 130
4 28 30
4 20 50
2 4 70
2 5 70
3 11 90
4 17 50
2 3 120
2 30 50
4 33 30
3 13 80
2 14 120
4 28 120
2 32 40
4 25 70
4 32 30
3 26 70
2 11 60
3 9 80
3 14 70
4 7 90
4 23 130
4 32 150
4 16 40
4 3 40
2 11 50
4 14 70
3 33 70
3 22 80
2 19 60
4 32 50
4 7 80
2 27 40
3 10 50
3 8 120
4 25 40
4 15 120
2 18 80
3 8 100
3 7 150
2 19 30
4 1 40
3 8 150
2 13 60
4 27 50
2 29 50
4 16 50
4 7 90
3 19 110
3 31 80
2 14 130
3 3 30
2 19 140
4 21 100
3 21 90
2 5 80
4 30 40
3 14 150
4 31 130
3 17 50
4 14 70
2 16 80
2 18 40
3 6 130
4 22 60
3 20 30
3 12 80
4 20 60
3 7 110
4 6 60
2 2 150
2 26 40
3 5 140
2 2 130
2 19 150
3 32 100
2 7 110
3 5 110
4 12 50
2 10 80
3 7 140
4 19 50
2 10 110
4 3 150
3 14 50
3 28 110
2 4 140
4 16 70
2 29 150
3 17 110
3 30 30
3 22 50
3 32 30
4 27 120
2 4 140
3 9 120
2 9 70
3 26 120
3 12 120
2 15 100
2 12 110
3 33 130
3 15 60
3 32 130
3 15 140
3 22 110
4 18 130
2 4 40
4 24 50
4 14 70
3 20 110
3 11 140
4 30 120
2 8 120
4 25 50
2 17 90
2 4 100
4 26 140
4 23 90
4 11 110
4 3 110
2 17 130
2 18 140
2 9 150
4 6 100
2 25 150
3 26 50
3 29 50
4 32 60
2 28 120
4 27 40
160 100 100 80 120 160 140 60 80 140 

> seed 2

200 10
2 6 40
3 11 140
4 20 70
4 14 120
2 11 90
4 26 150
4 33 80
4 29 110
3 3 30
3 30 80
3 28 110
2 12 60
2 2 50
3 12 50
4 33 80
4 12 100
3 24 150
4 23 80
3 11 150
3 30 130
4 16 100
3 32 110
4 23 130
3 30 80
4 30 100
4 15 80
4 11 120
3 31 70
3 33 110
4 33 130
4 27 70
4 14 100
4 24 130
4 5 150
3 1 60
4 7 30
4 4 70
4 15 130
2 9 70
2 14 30
3 3 30
3 24 50
2 2 40
2 5 30
2 2 80
3 9 50
4 12 110
4 1 90
4 3 150
2 10 30
2 23 120
4 8 70
3 32 30
3 29 110
4 3 70
3 10 100
2 6 130
4 21 40
2 29 150
2 26 100
4 21 50
3 17 70
4 27 130
2 9 130
2 17 30
2 11 50
2 30 130
2 33 140
2 16 60
4 29 40
3 6 120
2 24 70
4 28 70
4 1 50
2 25 90
2 8 110
4 6 60
2 7 30
2 15 40
2 2 110
4 30 100
3 25 60
4 14 140
3 28 110
2 4 90
4 12 40
4 31 80
2 8 120
3 19 140
3 20 30
4 27 40
2 20 60
4 2 150
3 4 90
4 32 100
2 5 30
3 2 80
3 5 60
3 13 40
4 24 90
4 30 50
3 26 40
3 8 40
2 22 130
3 14 140
2 2 120
4 31 150
2 32 70
3 30 50
3 18 100
4 31 140
4 27 100
4 19 90
2 11 100
4 17 110
3 6 120
4 7 40
3 12 110
2 27 40
2 3 50
3 25 60
4 22 100
2 19 40
2 28 40
3 16 140
